1_q	Romenay estas franca komunumo lokita en la departemento Haute-Vienne kaj en la regiono Burgonjo.
1_q_triples	  Romenay -- Komuneja kategorio -- Romenay ; Romenay -- ŝtato -- Francio ; Romenay -- troviĝas en administra unuo -- canton of Tournus ; Romenay -- troviĝas en administra unuo -- Saône-et-Loire ; Romenay -- komuna landlimo kun -- Curciat-Dongalon ; Romenay -- komuna landlimo kun -- Saint-Trivier-de-Courtes ; Romenay -- komuna landlimo kun -- Sermoyer ; Romenay -- komuna landlimo kun -- Vernoux ; Romenay -- komuna landlimo kun -- Vescours ; Romenay -- komuna landlimo kun -- La Chapelle-Thècle ; Romenay -- komuna landlimo kun -- La Genête ; Romenay -- komuna landlimo kun -- Montpont-en-Bresse ; Romenay -- komuna landlimo kun -- Ratenelle ; Romenay -- estas -- Komunumo ; Romenay -- poŝtkodo -- 71470
2_q	Kreien estas komunumo en Germanio. 
2_q_triples	 Kreien -- ŝtato -- Germanio ; Kreien -- Komuneja kategorio -- Kreien ; Kreien -- estas -- municipo en Germanio ; Kreien -- troviĝas en administra unuo -- Distrikto Ludwigslust-Parchim ; Kreien -- poŝtkodo -- 19386 ; Kreien -- loka telefonkodo -- 038733 ;
3_q	Bodenrode-Westhausen estas komunumo en Germanio. 
3_q_triples	 Bodenrode-Westhausen -- ŝtato -- Germanio ; Bodenrode-Westhausen -- Komuneja kategorio -- Bodenrode-Wetthauten ; Bodenrode-Westhausen -- estas -- municipo en Germanio ; Bodenrode-Westhausen -- troviĝas en administra unuo -- Distrikto Eichsfeld ; Bodenrode-Westhausen -- poŝtkodo -- 37308 ; Bodenrode-Westhausen -- loka telefonkodo -- 03606 ;
4_q	Sassello estas komunumo de Italio. 
4_q_triples	 Sassello -- Komuneja kategorio -- Sattello ; Sassello -- troviĝas en administra unuo -- Provinco de Savono ; Sassello -- poŝtkodo -- 17046 ; Sassello -- komuna landlimo kun -- Arenzano ; Sassello -- komuna landlimo kun -- Cogoleto ; Sassello -- komuna landlimo kun -- Mioglia ; Sassello -- komuna landlimo kun -- Pareto ; Sassello -- komuna landlimo kun -- Ponzone ; Sassello -- komuna landlimo kun -- Stella ; Sassello -- komuna landlimo kun -- Tiglieto ; Sassello -- komuna landlimo kun -- Urbe ; Sassello -- komuna landlimo kun -- Varazze ; Sassello -- komuna landlimo kun -- Ĝenovo ; Sassello -- komuna landlimo kun -- Pontinvrea ; Sassello -- loka telefonkodo -- 019 ; Sassello -- ŝtato -- Italio ; Sassello -- estas -- komunumo de Italio ; Sassello -- ĝemelurbo -- Les Alqueries ; Sassello -- komuneja bildaro -- Sattello ; Sassello -- licencnumero -- SV ;
5_q	Kappel estas komunumo en Germanio. 
5_q_triples	 Kappel -- ŝtato -- Germanio ; Kappel -- Komuneja kategorio -- Kappel ; Kappel -- estas -- municipo en Germanio ; Kappel -- estas -- Ortsgemeinde ; Kappel -- komuna landlimo kun -- Bell ; Kappel -- komuna landlimo kun -- Peterswald-Löffelscheid ; Kappel -- komuna landlimo kun -- Rödelhausen ; Kappel -- komuna landlimo kun -- Schwarzen ; Kappel -- komuna landlimo kun -- Todenroth ; Kappel -- komuna landlimo kun -- Kludenbach ; Kappel -- komuna landlimo kun -- Reckershausen ; Kappel -- komuna landlimo kun -- Wüschheim ; Kappel -- komuna landlimo kun -- Mastershausen ; Kappel -- troviĝas en administra unuo -- distrikto Rhein-Hunsrück ; Kappel -- poŝtkodo -- 55483 ; Kappel -- loka telefonkodo -- 06763 ;
6_q	Sulzbach-Rosenberg estas komunumo en Germanio. 
6_q_triples	 Sulzbach-Rosenberg -- ŝtato -- Germanio ; Sulzbach-Rosenberg -- Komuneja kategorio -- Sulzbach-Rotenberg ; Sulzbach-Rosenberg -- estas -- municipo en Germanio ; Sulzbach-Rosenberg -- troviĝas en administra unuo -- distrikto Amberg-Sulzbach ; Sulzbach-Rosenberg -- poŝtkodo -- 92237 ; Sulzbach-Rosenberg -- loka telefonkodo -- 09661 ; Sulzbach-Rosenberg -- mallonga formo -- Srb ; Sulzbach-Rosenberg -- arĥivita en -- Stadtarchiv Sulzbach-Rosenberg ;
7_q	Drobin estas urbo en Grandpollando en Pollando. 
7_q_triples	 Drobin -- ŝtato -- Pollando ; Drobin -- troviĝas en administra unuo -- Gmina Drobin ; Drobin -- estas -- urbo ; Drobin -- Komuneja kategorio -- Drobin ;
8_q	La Ordinara tadorno (Tadorno (manka vorto)) estas specio de birdo de la familio de Ikteredoj kaj de ties tipa genro nome Tadorno kiu enhavas speciojn kiuj montras flavajn kaj nigrajn kolorojn. 
8_q_triples	 Ordinara tadorno -- taksonomia rango -- specio ; Ordinara tadorno -- konserva statuso de IUCN -- Malplej Zorgiga ; Ordinara tadorno -- taksonomia nomo -- Tadorna ; Ordinara tadorno -- Komuneja kategorio -- Tadorna ; Ordinara tadorno -- supera taksono -- Tadorno ; Ordinara tadorno -- komuneja bildaro -- Tadorna ; Ordinara tadorno -- estas -- taksono ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- Hwyaden ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- Common ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- Brandgant ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- Tarro ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- u00E0nec ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- hutice ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- rittpart ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- Gravand ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- u041Fu0435u0433u0430u043Du043Au0430 ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- u30C4u30AFu30B7u30ACu30E2 ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- Gravand ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- rittitorta ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- bu00FCtyku00F6t ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- ohar ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- kazarka ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- gravand ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- Bergeend ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- Tadorne ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- Volpoca ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- tadorna ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- duplintka ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- u0E40u0E1Bu0E47u0E14u0E40u0E0Au0E25u0E14u0E31u0E01 ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- Shelduck ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- paprattoji ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- Brandu00F6nd ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- Su0101mtalat ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- u7FF9u9F3Bu9EBBu9D28 ; Ordinara tadorno -- http://www.wikidata.org/prop/direct/P1843 -- u82B1u9CE7 ; Ordinara tadorno -- identigilo de IUCN -- 22680024 ;
9_q	Dannenberg estas komunumo en Germanio. 
9_q_triples	 Dannenberg -- ŝtato -- Germanio ; Dannenberg -- Komuneja kategorio -- Dannenberg ; Dannenberg -- estas -- municipo en Germanio ; Dannenberg -- troviĝas en administra unuo -- Elbtalaue ; Dannenberg -- poŝtkodo -- 29451 ; Dannenberg -- loka telefonkodo -- 05861 ;
10_q	Hoym estas komunumo en Germanio. 
10_q_triples	 Hoym -- ŝtato -- Germanio ; Hoym -- troviĝas en administra unuo -- Seeland ; Hoym -- estas -- Submunicipo ; Hoym -- Komuneja kategorio -- Hoym ;
11_q	Kalitrikaloj estas ordo de birdoj de la familio de Asteridae. 
11_q_triples	 Kalitrikaloj -- supera taksono -- Asteridae ; Kalitrikaloj -- taksonomia nomo -- Callitrichalet ; Kalitrikaloj -- taksonomia rango -- ordo ; Kalitrikaloj -- estas -- taksono ;
12_q	Kantono Dallas (Iovao) estas unu el la (manka nombro) kantonoj de la usona subŝtato Iovao (Iowa). 
12_q_triples	 Kantono Dallas -- DDC (Dewey dekuma klasifiko) -- 2 ; Kantono Dallas -- troviĝas en administra unuo -- Iovao ; Kantono Dallas -- Komuneja kategorio -- Dallat ; Kantono Dallas -- ŝtato -- Usono ; Kantono Dallas -- estas -- county of Iowa ; Kantono Dallas -- nomita laŭ -- George M. Dallas ; Kantono Dallas -- komuna landlimo kun -- Kantono Boone ; Kantono Dallas -- komuna landlimo kun -- Kantono Madison ; Kantono Dallas -- subdividoj -- Adel ; Kantono Dallas -- ĉefurbo -- Adel ;
13_q	Ibiúna estas municipo de la brazila subŝtato San-Paŭlio, kiu taksis (manka nombro) enloĝantojn en (jaro). 
13_q_triples	 Ibiúna -- ŝtato -- Brazilo ; Ibiúna -- Komuneja kategorio -- Ibiu00FAna ; Ibiúna -- troviĝas en administra unuo -- San-Paŭlo ; Ibiúna -- estas -- urbo ; Ibiúna -- estas -- municipality of Brazil ;
14_q	Frontera estas unu el la (manka nombro) komunumoj de la meksika subŝtato Chihuahua, kiu situas en norda Meksiko kun limo al Usono. 
14_q_triples	 Frontera -- ŝtato -- Meksiko ; Frontera -- estas -- municipality of Mexico ; Frontera -- troviĝas en administra unuo -- Coahuila ;
15_q	La Provinco Adrar estas unu el (manka nombro) administraj unuoj, kiuj konsistigas la (manka vorto) Provinco Adrar. 
15_q_triples	 Provinco Adrar -- troviĝas en administra unuo -- Alĝerio ; Provinco Adrar -- ŝtato -- Alĝerio ; Provinco Adrar -- Komuneja kategorio -- Adrar ; Provinco Adrar -- subdividoj -- Adrar District ; Provinco Adrar -- subdividoj -- Aougrout District ; Provinco Adrar -- subdividoj -- Aoulef District ; Provinco Adrar -- subdividoj -- Bordj Badji Mokhtar District ; Provinco Adrar -- subdividoj -- Charouine District ; Provinco Adrar -- subdividoj -- Fenoughil District ; Provinco Adrar -- subdividoj -- Reggane District ; Provinco Adrar -- subdividoj -- Tsabit District ; Provinco Adrar -- subdividoj -- Timimoun District ; Provinco Adrar -- subdividoj -- Tinerkouk District ; Provinco Adrar -- subdividoj -- Zaouiet Kounta District ; Provinco Adrar -- estas -- province of Algeria ; Provinco Adrar -- komuneja bildaro -- Adrar ; Provinco Adrar -- komuna landlimo kun -- Provinco El Bajdah ; Provinco Adrar -- ĉefurbo -- Adrar ;
16_q	La regiono Mara estas unu el la (manka nombro) kantonoj de la ŝtato. 
16_q_triples	 Regiono Mara -- ŝtato -- Tanzanio ; Regiono Mara -- ĉefurbo -- Musoma ; Regiono Mara -- nomita laŭ -- Mara River ; Regiono Mara -- troviĝas en administra unuo -- Tanzanio ; Regiono Mara -- estas -- Regionoj de Tanzanio ; Regiono Mara -- Komuneja kategorio -- Mara ;
17_q	Nova Pádua estas municipo en la brazila subŝtato Suda Rio-Grando, kiu havis (manka nombro) loĝantojn en (jaro). 
17_q_triples	 Nova Pádua -- ŝtato -- Brazilo ; Nova Pádua -- troviĝas en administra unuo -- Suda Rio-Grando ; Nova Pádua -- estas -- municipality of Brazil ; Nova Pádua -- ĝemelurbo -- Fontaniva ; Nova Pádua -- Komuneja kategorio -- Nova ;
18_q	Santa María del Río estas unu el la (manka nombro) komunumoj de la meksika subŝtato (manka vorto), kiu situas en norda Meksiko kun limo al Usono. 
18_q_triples	 Santa María del Río -- ŝtato -- Meksiko ; Santa María del Río -- estas -- municipality of Mexico ; Santa María del Río -- troviĝas en administra unuo -- San Luis Potosí ;
19_q	Wolfgang TIEFENSEE (naskiĝinta la (manka nombro) - an de januaro (jaro) en Gera) estas germana politikisto. 
19_q_triples	 Wolfgang Tiefensee -- sekso -- vira ; Wolfgang Tiefensee -- Komuneja kategorio -- Wolfgang ; Wolfgang Tiefensee -- ŝtataneco -- Germanio ; Wolfgang Tiefensee -- ŝtataneco -- Germana Demokratia Respubliko ; Wolfgang Tiefensee -- naskiĝloko -- Gera ; Wolfgang Tiefensee -- partio -- Socialdemokratia Partio de Germanio ; Wolfgang Tiefensee -- okupo -- politikisto ; Wolfgang Tiefensee -- okupo -- electrical engineer ; Wolfgang Tiefensee -- posteno -- Minister of Transportation ; Wolfgang Tiefensee -- posteno -- urbestro ; Wolfgang Tiefensee -- posteno -- urbestro ; Wolfgang Tiefensee -- posteno -- member of the German Bundestag ; Wolfgang Tiefensee -- estas -- homo ; Wolfgang Tiefensee -- antaŭnomo -- Wolfgang ; Wolfgang Tiefensee -- lingvoj parolataj, skribitaj aŭ signitaj -- germana lingvo ; Wolfgang Tiefensee -- patro -- Siegfried Tiefensee ; Wolfgang Tiefensee -- membro de -- Cabinet Ramelow ; Wolfgang Tiefensee -- partopreno en -- German presidential election, 2012 ; Wolfgang Tiefensee -- partopreno en -- German presidential election, 2009 ; Wolfgang Tiefensee -- partopreno en -- German presidential election, 2010 ; Wolfgang Tiefensee -- partopreno en -- list of participants in the coalition talks between the CDU/CSU and SPD in 2013 ; Wolfgang Tiefensee -- denaska lingvo -- germana lingvo ; Wolfgang Tiefensee -- http://www.wikidata.org/prop/direct/P1416 -- SPD-Bundestagsfraktion ; Wolfgang Tiefensee -- komuneja bildaro -- Wolfgang ; Wolfgang Tiefensee -- loko de agado -- Berlino ;
20_q	Schinnen [(manka vorto)] estas komunumo en la nederlanda provinco Suda Holando. 
20_q_triples	 Schinnen -- blazono -- coat of arms of Schinnen ; Schinnen -- troviĝas en administra unuo -- Limburgo ; Schinnen -- Komuneja kategorio -- Schinnen ; Schinnen -- ŝtato -- Nederlando ; Schinnen -- estas -- municipo en Nederlando ; Schinnen -- komuna landlimo kun -- Onderbanken ; Schinnen -- komuna landlimo kun -- Beek ; Schinnen -- komuna landlimo kun -- Brunssum ; Schinnen -- komuna landlimo kun -- Sittard-Geleen ; Schinnen -- komuna landlimo kun -- Nuth ; Schinnen -- komuna landlimo kun -- Heerlen ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Doenrade ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Klein-Doenrade ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Onderste Puth ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Sweikhuizen ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Heisterbrug ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Puth ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Nagelbeek ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Thull ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Oirsbeek ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Wolfhagen ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Bovenste Puth ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Windraak ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Amstenrade ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Hegge ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Hoeve Krekelberg ; Schinnen -- http://www.wikidata.org/prop/direct/P1383 -- Schinnen ; Schinnen -- tempozono -- Mezeŭropa tempo ; Schinnen -- poŝtkodo -- 6155 ; Schinnen -- poŝtkodo -- 6174 ; Schinnen -- poŝtkodo -- 6365 ; Schinnen -- poŝtkodo -- 6436u20136439 ; Schinnen -- loka telefonkodo -- 046 ; Schinnen -- estro -- Lu00E9on Frissen ; Schinnen -- partio -- Kristandemokrata Apelo ; Schinnen -- nomo en originala aŭ oficiala lingvo -- Sju00E8nne ;
21_q	Hirokeno estas neregula satelito de Saturno, ano de la norda grupo. 
21_q_triples	 Hirokeno -- patra korpo -- Saturno ; Hirokeno -- dumtempa nomo -- S/2004 ; Hirokeno -- nomita laŭ -- Hyrrokkin ; Hirokeno -- estas -- Natura satelito ;
22_q	Sáta [(manka vorto)] estas malgranda vilaĝo en Hungario, en regiono Norda Hungario, en departemento Borsod-Abaúj-Zemplén, en subregiono de Borsod-Abaúj-Zemplén. 
22_q_triples	 Sáta -- troviĝas en administra unuo -- Borsod-Abaúj-Zemplén ; Sáta -- ŝtato -- Hungario ; Sáta -- estas -- municipality of Hungary ; Sáta -- poŝtkodo -- 3659 ; Sáta -- tempozono -- Mezeŭropa tempo ; Sáta -- Komuneja kategorio -- Su00E1ta ; Sáta -- loka telefonkodo -- 48 ;
23_q	Zederik estas komunumo en la nederlanda provinco Zuid-Holland. 
23_q_triples	 Zederik -- troviĝas en administra unuo -- Suda Holando ; Zederik -- poŝtkodo -- 4126 ; Zederik -- poŝtkodo -- 4128 ; Zederik -- poŝtkodo -- 4230u20134231 ; Zederik -- poŝtkodo -- 4233 ; Zederik -- poŝtkodo -- 4235 ; Zederik -- poŝtkodo -- 4243 ; Zederik -- poŝtkodo -- 4245 ; Zederik -- ŝtato -- Nederlando ; Zederik -- estas -- municipo en Nederlando ; Zederik -- komuna landlimo kun -- Leerdam ; Zederik -- komuna landlimo kun -- Vianen (Utrecht) ; Zederik -- komuna landlimo kun -- Giessenlanden ; Zederik -- komuna landlimo kun -- Molenwaard ; Zederik -- komuna landlimo kun -- Lopik ; Zederik -- Komuneja kategorio -- Zederik ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Leerbroek ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Nieuwland, Zederik ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Lakerveld ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Broek ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Kortenhoeven ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Middelkoop ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Tienhoven, South Holland ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Meerkerk ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Ameide ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Lexmond ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Achthoven, South Holland ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Geer, South Holland ; Zederik -- http://www.wikidata.org/prop/direct/P1383 -- Hei- en Boeicop nan . ;
24_q	Viesca estas unu el la (manka nombro) komunumoj de la meksika subŝtato (manka vorto), kiu situas en norda Meksiko (sed sen limo al Usono). 
24_q_triples	 Viesca -- ŝtato -- Meksiko ; Viesca -- estas -- Municipo ; Viesca -- troviĝas en administra unuo -- Coahuila ; Viesca -- ĉefurbo -- Viesca ;
25_q	Cecilia estas argentina filmo aperinta en (jaro). 
25_q_triples	 Cecilia -- originala lingvo -- hispana lingvo ; Cecilia -- estas -- filmo ; Cecilia -- ĉefrolanto -- Daisy Granados ; Cecilia -- reĝisoro -- Humberto Solu00E1s ; Cecilia -- eldonit/ata en -- Kubo ; Cecilia -- komponisto -- Leo Brouwer ; Cecilia -- titolo -- Cecilia ; Cecilia -- koloro -- kolora ; Cecilia -- http://www.wikidata.org/prop/direct/P1981 -- FSK 16 ; Cecilia -- surbaze de -- Cecilia Valdés (romano) ;
26_q	Kantono Laurens (angle (manka vorto) County) estas kantono de la usona ŝtato Georgio. 
26_q_triples	 Kantono Laurens -- Komuneja kategorio -- Laurent ; Kantono Laurens -- ŝtato -- Usono ; Kantono Laurens -- troviĝas en administra unuo -- Georgio ; Kantono Laurens -- estas -- county of Georgia ; Kantono Laurens -- nomita laŭ -- John Laurens ; Kantono Laurens -- komuna landlimo kun -- Kantono Johnson ; Kantono Laurens -- komuna landlimo kun -- Kantono Dodge ; Kantono Laurens -- komuna landlimo kun -- Kantono Emanuel ; Kantono Laurens -- komuna landlimo kun -- Treutlen County ; Kantono Laurens -- komuna landlimo kun -- Kantono Wheeler ; Kantono Laurens -- komuna landlimo kun -- Kantono Bleckley ; Kantono Laurens -- komuna landlimo kun -- Kantono Wilkinson ; Kantono Laurens -- komuna landlimo kun -- Twiggs County ; Kantono Laurens -- ĉefurbo -- Dublin ; Kantono Laurens -- subdividoj -- Dublin ;
27_q	Rábaszentmihály ((manka vorto)) estas malgranda vilaĝo en Hungario en regiono okcidenta Transdanubio, en departemento Győr-Moson-Sopron, en subregiono de Csorna. 
27_q_triples	 Rábaszentmihály -- troviĝas en administra unuo -- Győr-Moson-Sopron ; Rábaszentmihály -- ŝtato -- Hungario ; Rábaszentmihály -- estas -- municipality of Hungary ; Rábaszentmihály -- Komuneja kategorio -- Ru00E1batzentmihu00E1ly ; Rábaszentmihály -- poŝtkodo -- 9135 ; Rábaszentmihály -- tempozono -- Mezeŭropa tempo ; Rábaszentmihály -- loka telefonkodo -- 96 ;
28_q	Desloch estas komunumo en Germanio. 
28_q_triples	 Desloch -- ŝtato -- Germanio ; Desloch -- Komuneja kategorio -- Detloch ; Desloch -- estas -- municipo en Germanio ; Desloch -- troviĝas en administra unuo -- Bad Kreuznach ; Desloch -- poŝtkodo -- 55592 ; Desloch -- loka telefonkodo -- 06753 ;
29_q	Georgenthal estas komunumo en Germanio. 
29_q_triples	 Georgenthal -- ŝtato -- Germanio ; Georgenthal -- Komuneja kategorio -- Georgenthal ; Georgenthal -- estas -- municipo en Germanio ; Georgenthal -- poŝtkodo -- 99887 ; Georgenthal -- komuneja bildaro -- Georgenthal ; Georgenthal -- troviĝas en administra unuo -- Distrikto Gotha ; Georgenthal -- loka telefonkodo -- 036253 ;
30_q	Dammartin-en-Goële [(manka vorto)] estas franca komunumo en la departemento Seine-et-Marne, en la regiono Francilio. 
30_q_triples	 Dammartin-en-Goële -- Komuneja kategorio -- Dammartin-en-Gou00EBle ; Dammartin-en-Goële -- ŝtato -- Francio ; Dammartin-en-Goële -- troviĝas en administra unuo -- canton of Dammartin-en-Gou00EBle ; Dammartin-en-Goële -- troviĝas en administra unuo -- Seine-et-Marne ; Dammartin-en-Goële -- estas -- Komunumo ; Dammartin-en-Goële -- ĉefurbo de -- canton of Dammartin-en-Gou00EBle ; Dammartin-en-Goële -- komuna landlimo kun -- Othis ; Dammartin-en-Goële -- komuna landlimo kun -- Rouvres ; Dammartin-en-Goële -- komuna landlimo kun -- Saint-Mard ; Dammartin-en-Goële -- komuna landlimo kun -- Thieux ; Dammartin-en-Goële -- komuna landlimo kun -- Villeneuve-sous-Dammartin ; Dammartin-en-Goële -- komuna landlimo kun -- Ève ; Dammartin-en-Goële -- komuna landlimo kun -- Longperrier ; Dammartin-en-Goële -- poŝtkodo -- 77230 ;
